provincia_id,provincia_nombre,localidad_nombre,juzgado_nombre,juzgado_numero,juzgado_tipo,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalizacion_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°3,3,Circuito,21-12618134-2,DAÑOS Y PERJUICIOS,2018-06-15 00:00:00,2018-06-18 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 14ta. Nom.,14,Distrito,21-01562035-5,JUICIOS ORDINARIOS,2013-02-05 00:00:00,2013-02-06 00:00:00,2018-07-26 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-19 00:00:00,2018-09-06 00:00:00,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-00142300-9,JUICIOS SUMARIOS,2016-02-25 00:00:00,2016-02-26 00:00:00,2018-08-07 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-19 00:00:00,2018-10-11 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,2019-05-06 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-00143230-0,DAÑOS Y PERJUICIOS,2016-12-29 00:00:00,2017-02-01 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,,2018-09-06 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,2019-04-26 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 6ta. Nom.,6,Distrito,21-02875718-9,DAÑOS Y PERJUICIOS,2017-02-14 00:00:00,2017-02-15 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°2,2,Circuito,21-12612948-0,DAÑOS Y PERJUICIOS,2017-08-01 00:00:00,2017-08-02 00:00:00,2018-07-26 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-19 00:00:00,2018-10-17 00:00:00,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°3,3,Circuito,21-11861389-6,DAÑOS Y PERJUICIOS,2017-03-31 00:00:00,2017-09-18 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-12614065-4,DAÑOS Y PERJUICIOS,2017-10-12 00:00:00,2017-10-13 00:00:00,2018-08-08 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-19 00:00:00,2018-10-18 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,2019-04-17 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-12614683-0,DAÑOS Y PERJUICIOS,2017-11-28 00:00:00,2017-11-29 00:00:00,2018-08-15 00:00:00,RESULTADO AUD. PROV. PRUEBAS - CONCILIÓ EN AUDIENCIA,2018-06-19 00:00:00,2018-11-08 00:00:00,,,2018-08-30 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 7ma. Nom.,7,Distrito,21-02891781-0,ACCIÓN REIVINDICATORIA,2017-12-11 00:00:00,2017-12-12 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 6ta. Nom.,6,Distrito,21-02898060-1,ACCIÓN REIVINDICATORIA,2018-05-16 00:00:00,2018-05-17 00:00:00,2019-10-09 00:00:00,,2019-08-29 00:00:00,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-12616977-6,COBRO DE PESOS,2018-05-16 00:00:00,2018-05-17 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-12617854-6,COBRO DE PESOS,2018-06-07 00:00:00,2018-06-08 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 8va. Nom.,8,Distrito,21-12616295-9,DAÑOS Y PERJUICIOS,2018-04-13 00:00:00,2018-06-13 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-08-29 00:00:00,,,,2019-07-05 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 16ta. Nom.,16,Distrito,21-02899445-9,CUMPLIMIENTO DE CONTRATO,2018-06-14 00:00:00,2018-06-15 00:00:00,2018-11-06 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-09-27 00:00:00,2019-06-26 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 8va. Nom.,8,Distrito,21-02899500-5,DEMANDA DE DERECHO DE CONSUMO,2018-06-15 00:00:00,2018-06-18 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-08-07 00:00:00,,,,2018-12-13 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 15ta. Nom.,15,Distrito,21-02899520-9,ESCRITURACION,2018-06-15 00:00:00,2018-06-18 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 8va. Nom.,8,Distrito,21-02899612-5,INCUMPLIMIENTO DE CONTRATO,2018-06-18 00:00:00,2018-06-19 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°5,5,Circuito,21-12618185-7,DESALOJO,2018-06-18 00:00:00,2018-06-19 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-00142166-9,DAÑOS Y PERJUICIOS,2015-12-15 00:00:00,2015-12-16 00:00:00,2018-08-14 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-21 00:00:00,2018-10-11 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,2019-04-16 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 8va. Nom.,8,Distrito,21-02862045-1,DAÑOS Y PERJUICIOS,2016-07-07 00:00:00,2016-07-25 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-21 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 2da. Nom.,2,Distrito,21-02868105-1,LEY 24240,2016-10-21 00:00:00,2016-10-24 00:00:00,2018-07-03 00:00:00,RESULTADO AUD. PROV. PRUEBAS - CONCILIÓ EN AUDIENCIA,2018-06-21 00:00:00,,,,2018-07-05 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°2,2,Circuito,21-12610772-9,DAÑOS Y PERJUICIOS,2017-04-19 00:00:00,2017-04-20 00:00:00,2018-07-26 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-21 00:00:00,2018-10-24 00:00:00,,,,,
