provincia_id,provincia_nombre,localidad_nombre,juzgado_nombre_y_juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion
18,Corrientes,Esquina,"Civil, Comercial Y Laboral - Esquina",5905/18,PRESCRIPCIÓN ADQUISITIVA,22/02/2018,22/02/2018,02/09/2019,No conciliada,02/09/2019,,,,,
18,Corrientes,Esquina,"Civil, Comercial Y Laboral - Esquina",6425/19,DAÑOS Y PERJUICIOS,27/05/2019,27/05/2019,04/09/2019,No conciliada,09/09/2019,13/02/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",12342/19,DAÑOS Y PERJUICIOS,06/05/2019,06/05/2019,05/09/2019,No conciliada,05/09/2019,11/12/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",11541/18,DAÑOS Y PERJUICIOS,15/11/2018,15/11/2018,02/09/2019,No conciliada,02/09/2019,04/11/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",11684/18,DAÑOS Y PERJUICIOS,10/12/2018,10/12/2018,12/09/2019,No conciliada,12/09/2019,14/11/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",10261/18,SUMARIO (CONOCIMENTO),01/03/2018,01/03/2018,19/09/2019,No conciliada,19/09/2019,16/12/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",12294/19,COBRO DE PESOS,23/04/2019,23/04/2019,20/09/2019,No conciliada,20/09/2019,28/02/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",11036/18,DAÑOS Y PERJUICIOS,03/09/2018,03/09/2018,30/09/2019,No conciliada,30/09/2019,27/03/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",12314/19,DAÑOS Y PERJUICIOS,25/04/2019,25/04/2019,10/09/2019,No conciliada,10/09/2019,18/02/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",10334/18,PRESCRIPCIÓN ADQUISITIVA,16/03/2018,16/03/2018,11/09/2019,No conciliada,11/09/2019,03/03/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",7166/15,PRESCRIPCIÓN ADQUISITIVA,15/05/2015,15/05/2015,27/09/2019,No conciliada,27/09/2019,03/12/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",9697/17,DAÑOS Y PERJUICIOS,01/09/2017,01/09/2017,24/09/2019,No conciliada,24/09/2019,16/03/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",11630/18,REINVINDICACIÓN - ORDINARIO,29/11/2018,29/11/2018,11/09/2019,No conciliada,11/09/2019,02/10/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",9769/17,ESCRITURACIÓN,20/09/2017,20/09/2017,18/09/2019,No conciliada,18/09/2019,,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",12407/19,SERVIDUMBRE,23/05/2019,23/05/2019,25/09/2019,No conciliada,25/09/2019,06/03/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",5053/15,PRESCRIPCIÓN ADQUISITIVA,11/03/2015,11/03/2015,13/09/2019,No conciliada,13/09/2019,28/11/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial - Paso de los Libres,20030/19,ACCION DE NULIDAD,20/05/2019,20/05/2019,18/09/2019,No conciliada,18/09/2019,12/11/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial - Paso de los Libres,19304/19,SUMARISIMO,05/02/2019,05/02/2019,25/09/2019,No conciliada,25/09/2019,29/10/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial - Paso de los Libres,17695/18,PRESCRIPCIÓN ADQUISITIVA,21/05/2018,21/05/2018,27/09/2019,No conciliada,27/09/2019,12/12/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,18892/18,DAÑOS Y PERJUICIOS,27/11/2018,27/11/2018,04/09/2019,No conciliada,04/09/2019,16/12/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,17676/19,PRESCRIPCION ADQUISITIVA,17/05/2018,17/05/2018,10/09/2019,No conciliada,10/09/2019,29/10/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,18299/18,INTERDICTO DE RECOBRAR,30/08/2018,30/08/2018,18/09/2019,No conciliada,18/09/2019,21/10/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,18302/18,INTERDICTO DE RECOBRAR,30/08/2018,30/08/2018,18/09/2019,Concilió,18/09/2019,,,18/09/2019,18/09/2019,HOMOLOGATORIA
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,18896/18,DESALOJO,27/11/2018,27/11/2018,27/09/2019,No conciliada,27/09/2019,31/10/2019,,,,
18,Corrientes,Monte Caseros,Civil y Comercial - Monte Caseros,9580/19,COBRO DE PESOS,25/03/2019,25/03/2019,27/09/2019,No conciliada,27/09/2019,25/11/2019,,,,
18,Corrientes,Monte Caseros,Civil y Comercial y Laboral - Monte Caseros,8762/18,REIVINDICACION,28/03/2018,28/03/2018,17/09/2019,No conciliada,17/09/2019,18/02/2020,,,,
18,Corrientes,Santo Tomé,Civil y Comercial - S. Tome,8961/18,INTERDICTO DE RETENER,30/10/2018,30/10/2018,05/09/2019,No conciliada,05/09/2019,24/09/2019,No conciliada,,,
18,Corrientes,Santo Tomé,Civil y Comercial - S. Tome,8430/18,DAÑOS Y PERJUICIOS,05/04/2018,05/04/2018,17/09/2019,No conciliada,17/09/2019,03/12/2019,,,,
18,Corrientes,Santo Tomé,Civil y Comercial y Laboral - S. Tome,9189/19,DAÑOS Y PERJUICIOS,15/02/2019,15/02/2019,02/09/2019,No conciliada,02/09/2019,02/12/2019,,,,
18,Corrientes,Santo Tomé,Civil y Comercial y Laboral - S. Tome,8162/17,DESALOJO,12/12/2017,12/12/2017,23/09/2019,No conciliada,23/09/2019,26/11/2019,,,,
18,Corrientes,Ituzaingó,Civil y Comercial y Laboral - Ituzaingo,5960/18, PRESCRIPCION ADQUISITIVA,05/09/2018,12/09/2019,12/09/2019,No conciliada,12/09/2019,03/10/2019,No conciliada,,,
